bin,predicted,observed,games,Gender,block,model
0,0.052780461642479105,0.0,46,W,W,xgboost_calibrated
1,0.13266791998688784,0.1282051282051282,39,W,W,xgboost_calibrated
2,0.24929220095341104,0.42857142857142855,21,W,W,xgboost_calibrated
3,0.34184279320007427,0.42857142857142855,35,W,W,xgboost_calibrated
4,0.459327309441561,0.6666666666666666,12,W,W,xgboost_calibrated
5,0.5595309600678358,0.4444444444444444,18,W,W,xgboost_calibrated
6,0.6561355988185245,0.6153846153846154,26,W,W,xgboost_calibrated
7,0.7600133969856496,0.8235294117647058,17,W,W,xgboost_calibrated
8,0.8587328822727625,0.7872340425531915,47,W,W,xgboost_calibrated
9,0.9474801705972777,0.8333333333333334,54,W,W,xgboost_calibrated
0,0.0649071604013443,0.0,40,W,W,xgboost_raw
1,0.1336217529890014,0.0975609756097561,41,W,W,xgboost_raw
2,0.24874430635701056,0.34782608695652173,23,W,W,xgboost_raw
3,0.34662521992410933,0.45714285714285713,35,W,W,xgboost_raw
4,0.4537683512483324,0.6428571428571429,14,W,W,xgboost_raw
5,0.5607424199581146,0.45,20,W,W,xgboost_raw
6,0.6605764079093933,0.64,25,W,W,xgboost_raw
7,0.7504996032941909,0.8095238095238095,21,W,W,xgboost_raw
8,0.8652710490501844,0.75,52,W,W,xgboost_raw
9,0.9348717914386229,0.8863636363636364,44,W,W,xgboost_raw
0,0.05419113341003013,0.0,44,W,pooled_common,blend
1,0.1490656460965812,0.11764705882352941,34,W,pooled_common,blend
2,0.24500202667922902,0.20833333333333334,24,W,pooled_common,blend
3,0.355540662750051,0.48,25,W,pooled_common,blend
4,0.4492008334870565,0.4,25,W,pooled_common,blend
5,0.552089882786078,0.5789473684210527,19,W,pooled_common,blend
6,0.6453611679601451,0.72,25,W,pooled_common,blend
7,0.7580418746389833,0.6666666666666666,30,W,pooled_common,blend
8,0.8568575436406408,0.75,36,W,pooled_common,blend
9,0.944317843282618,0.9433962264150944,53,W,pooled_common,blend
0,0.05302020055725338,0.0,42,W,pooled_common,hist_calibrated
1,0.142787029312203,0.13157894736842105,38,W,pooled_common,hist_calibrated
2,0.24785995483520099,0.13043478260869565,23,W,pooled_common,hist_calibrated
3,0.34560953487385276,0.5,24,W,pooled_common,hist_calibrated
4,0.4397337058813841,0.4166666666666667,24,W,pooled_common,hist_calibrated
5,0.5678431311613115,0.68,25,W,pooled_common,hist_calibrated
6,0.6458078643135933,0.6521739130434783,23,W,pooled_common,hist_calibrated
7,0.747674362151655,0.6666666666666666,18,W,pooled_common,hist_calibrated
8,0.8630549772377294,0.7547169811320755,53,W,pooled_common,hist_calibrated
9,0.9428319748070612,0.9555555555555556,45,W,pooled_common,hist_calibrated
0,0.0653895087447385,0.0,40,W,pooled_common,hist_raw
1,0.14166930854390825,0.12121212121212122,33,W,pooled_common,hist_raw
2,0.24231246800448522,0.13333333333333333,30,W,pooled_common,hist_raw
3,0.34555291632945423,0.5454545454545454,22,W,pooled_common,hist_raw
4,0.44085606889033485,0.38461538461538464,26,W,pooled_common,hist_raw
5,0.5669268843739079,0.6428571428571429,28,W,pooled_common,hist_raw
6,0.651910884217879,0.6521739130434783,23,W,pooled_common,hist_raw
7,0.7430898887514897,0.7,20,W,pooled_common,hist_raw
8,0.866452216185277,0.7924528301886793,53,W,pooled_common,hist_raw
9,0.9331792907764818,0.95,40,W,pooled_common,hist_raw
0,0.051096835120536026,0.0,43,W,pooled_common,lightgbm_calibrated
1,0.14420399752773788,0.125,40,W,pooled_common,lightgbm_calibrated
2,0.2563184845696169,0.18181818181818182,22,W,pooled_common,lightgbm_calibrated
3,0.34693865341925767,0.4782608695652174,23,W,pooled_common,lightgbm_calibrated
4,0.44319823016747395,0.48,25,W,pooled_common,lightgbm_calibrated
5,0.5700098120706031,0.7,20,W,pooled_common,lightgbm_calibrated
6,0.6412477682702286,0.625,24,W,pooled_common,lightgbm_calibrated
7,0.7516224425237675,0.75,20,W,pooled_common,lightgbm_calibrated
8,0.8650696616219766,0.7169811320754716,53,W,pooled_common,lightgbm_calibrated
9,0.9459522460994609,0.9555555555555556,45,W,pooled_common,lightgbm_calibrated
0,0.06564641478463687,0.0,41,W,pooled_common,lightgbm_raw
1,0.14620844864870466,0.11764705882352941,34,W,pooled_common,lightgbm_raw
2,0.2471350904152558,0.16666666666666666,30,W,pooled_common,lightgbm_raw
3,0.3485035808626406,0.55,20,W,pooled_common,lightgbm_raw
4,0.44222733785515056,0.42857142857142855,28,W,pooled_common,lightgbm_raw
5,0.5691294566566566,0.6666666666666666,24,W,pooled_common,lightgbm_raw
6,0.6493774703767649,0.6666666666666666,24,W,pooled_common,lightgbm_raw
7,0.7449193163295761,0.6818181818181818,22,W,pooled_common,lightgbm_raw
8,0.8686905094078462,0.7547169811320755,53,W,pooled_common,lightgbm_raw
9,0.9343263398018317,0.9743589743589743,39,W,pooled_common,lightgbm_raw
0,0.029718857057892695,0.018518518518518517,54,W,pooled_common,logistic_calibrated
1,0.14561910516115348,0.06896551724137931,29,W,pooled_common,logistic_calibrated
2,0.24507258557075107,0.3333333333333333,24,W,pooled_common,logistic_calibrated
