model,block,Season,scope,status,count
logistic,levels,2017,additional,redundant,1
logistic,levels,2017,additional,redundant_base,2
logistic,levels,2017,additional,retained,16
logistic,levels,2017,base,constant,1
logistic,levels,2017,base,redundant,2
logistic,levels,2017,base,retained,16
logistic,levels,2018,additional,all_missing,88
logistic,levels,2018,additional,capacity,105
logistic,levels,2018,additional,redundant_base,1
logistic,levels,2018,additional,retained,16
logistic,levels,2018,base,constant,1
logistic,levels,2018,base,redundant,3
logistic,levels,2018,base,retained,15
logistic,levels,2019,additional,all_missing,88
logistic,levels,2019,additional,capacity,104
logistic,levels,2019,additional,redundant_base,2
logistic,levels,2019,additional,retained,16
logistic,levels,2019,base,constant,1
logistic,levels,2019,base,redundant,3
logistic,levels,2019,base,retained,15
logistic,levels,2021,additional,all_missing,88
logistic,levels,2021,additional,capacity,104
logistic,levels,2021,additional,redundant_base,2
logistic,levels,2021,additional,retained,16
logistic,levels,2021,base,constant,1
logistic,levels,2021,base,redundant,3
logistic,levels,2021,base,retained,15
logistic,momentum,2014,additional,all_missing,156
logistic,momentum,2014,additional,capacity,142
logistic,momentum,2014,additional,constant,1
logistic,momentum,2014,additional,retained,16
logistic,momentum,2014,base,constant,1
logistic,momentum,2014,base,redundant,2
logistic,momentum,2014,base,retained,16
logistic,momentum,2015,additional,all_missing,150
logistic,momentum,2015,additional,capacity,149
logistic,momentum,2015,additional,retained,16
logistic,momentum,2015,base,constant,1
logistic,momentum,2015,base,redundant,2
logistic,momentum,2015,base,retained,16
logistic,momentum,2016,additional,all_missing,141
logistic,momentum,2016,additional,capacity,158
logistic,momentum,2016,additional,retained,16
logistic,momentum,2016,base,constant,1
logistic,momentum,2016,base,redundant,2
logistic,momentum,2016,base,retained,16
logistic,momentum,2017,additional,all_missing,137
logistic,momentum,2017,additional,capacity,162
logistic,momentum,2017,additional,retained,16
logistic,momentum,2017,base,constant,1
logistic,momentum,2017,base,redundant,2
logistic,momentum,2017,base,retained,16
logistic,momentum,2018,additional,all_missing,134
logistic,momentum,2018,additional,capacity,165
logistic,momentum,2018,additional,retained,16
logistic,momentum,2018,base,constant,1
logistic,momentum,2018,base,redundant,3
logistic,momentum,2018,base,retained,15
logistic,momentum,2019,additional,all_missing,134
logistic,momentum,2019,additional,capacity,165
logistic,momentum,2019,additional,retained,16
logistic,momentum,2019,base,constant,1
logistic,momentum,2019,base,redundant,3
logistic,momentum,2019,base,retained,15
logistic,momentum,2021,additional,all_missing,134
logistic,momentum,2021,additional,capacity,165
logistic,momentum,2021,additional,retained,16
logistic,momentum,2021,base,constant,1
logistic,momentum,2021,base,redundant,3
logistic,momentum,2021,base,retained,15
logistic,strength,2014,base,retained,6
logistic,strength,2015,base,retained,6
logistic,strength,2016,base,retained,6
logistic,strength,2017,base,retained,6
logistic,strength,2018,base,retained,6
logistic,strength,2019,base,retained,6
logistic,strength,2021,base,retained,6
