scope,Gender,Season,arm,games,brier,baseline_brier,delta
all_tournament,W,2017,single_late_quality_wins,63,0.13001413228714104,0.13054242303569893,-0.0005282907485578969
all_tournament,W,2017,single_quality_margin,63,0.13196064408226443,0.13054242303569893,0.0014182210465654987
all_tournament,W,2017,single_quality_win_rate,63,0.130391948376211,0.13054242303569893,-0.00015047465948794803
all_tournament,W,2017,single_quality_wins,63,0.12989987438127526,0.13054242303569893,-0.0006425486544236747
all_tournament,W,2017,single_schedule_quality,63,0.12687457851690012,0.13054242303569893,-0.003667844518798813
all_tournament,W,2017,single_seeded_win_rate,63,0.1305291831747591,0.13054242303569893,-1.3239860939845416e-05
all_tournament,W,2017,single_seeded_wins,63,0.12998296704797727,0.13054242303569893,-0.0005594559877216687
all_tournament,W,2018,baseline,63,0.15611157244654633,0.15611157244654633,0.0
all_tournament,W,2018,minimal,63,0.16082403430038583,0.15611157244654633,0.0047124618538395
all_tournament,W,2018,minimal_quality,63,0.15773871348605856,0.15611157244654633,0.0016271410395122254
all_tournament,W,2018,single_away_quality_wins,63,0.15631123360633248,0.15611157244654633,0.0001996611597861464
all_tournament,W,2018,single_bad_loss_rate,63,0.15689217086464632,0.15611157244654633,0.0007805984180999925
all_tournament,W,2018,single_elite_win_rate,63,0.15615893129664193,0.15611157244654633,4.735885009560237e-05
all_tournament,W,2018,single_elite_wins,63,0.15638206855763653,0.15611157244654633,0.00027049611109020155
all_tournament,W,2018,single_late_quality_wins,63,0.15451239158921165,0.15611157244654633,-0.001599180857334681
all_tournament,W,2018,single_quality_margin,63,0.15693366667924546,0.15611157244654633,0.0008220942326991332
all_tournament,W,2018,single_quality_win_rate,63,0.15624455726865172,0.15611157244654633,0.00013298482210538642
all_tournament,W,2018,single_quality_wins,63,0.1551690786961406,0.15611157244654633,-0.0009424937504057262
all_tournament,W,2018,single_schedule_quality,63,0.1553527776280122,0.15611157244654633,-0.0007587948185341364
all_tournament,W,2018,single_seeded_win_rate,63,0.15613026239548602,0.15611157244654633,1.8689948939693002e-05
