bin,predicted,observed,games,Gender,block,model
2,0.25168938976642924,0.2727272727272727,22,W,adjusted,logistic
3,0.35109724055887553,0.42857142857142855,21,W,adjusted,logistic
4,0.43977586768903415,0.44,25,W,adjusted,logistic
5,0.5518962665534562,0.5454545454545454,22,W,adjusted,logistic
6,0.6444295033564676,0.7619047619047619,21,W,adjusted,logistic
7,0.7563015819648228,0.5862068965517241,29,W,adjusted,logistic
8,0.8452755465758326,0.7948717948717948,39,W,adjusted,logistic
9,0.95978773213406,0.9444444444444444,54,W,adjusted,logistic
0,0.06292122364055369,0.0,54,W,dynamic,hist
1,0.13886288107028652,0.1935483870967742,31,W,dynamic,hist
2,0.2596082263302589,0.3333333333333333,18,W,dynamic,hist
3,0.34048635058859683,0.36363636363636365,22,W,dynamic,hist
4,0.45434992324326906,0.52,25,W,dynamic,hist
5,0.540870676232394,0.6,25,W,dynamic,hist
6,0.6462034936511297,0.6666666666666666,27,W,dynamic,hist
7,0.7560583092451955,0.5238095238095238,21,W,dynamic,hist
8,0.8696432397165725,0.8461538461538461,39,W,dynamic,hist
9,0.9388660449544317,0.8867924528301887,53,W,dynamic,hist
0,0.045310540359212725,0.02,50,W,dynamic,logistic
1,0.14886967227669776,0.12121212121212122,33,W,dynamic,logistic
2,0.23935968678856057,0.1111111111111111,18,W,dynamic,logistic
3,0.35668850416133596,0.5416666666666666,24,W,dynamic,logistic
4,0.438720382701258,0.34615384615384615,26,W,dynamic,logistic
5,0.5483040022143579,0.6818181818181818,22,W,dynamic,logistic
6,0.6580155198652791,0.7368421052631579,19,W,dynamic,logistic
7,0.7577381042052774,0.5,34,W,dynamic,logistic
8,0.8564702982593464,0.8285714285714286,35,W,dynamic,logistic
9,0.9593057601227644,0.9814814814814815,54,W,dynamic,logistic
0,0.06822562198954656,0.047619047619047616,63,W,form,hist
1,0.14213365458476393,0.05263157894736842,19,W,form,hist
2,0.2517263665878847,0.25,16,W,form,hist
3,0.3488542703906247,0.5,26,W,form,hist
4,0.43365742199286705,0.44,25,W,form,hist
5,0.5551956616594003,0.6428571428571429,28,W,form,hist
6,0.6398402039896162,0.5,24,W,form,hist
7,0.7489886091037125,0.6818181818181818,22,W,form,hist
8,0.8664143141582442,0.75,32,W,form,hist
9,0.933532503573358,0.9333333333333333,60,W,form,hist
0,0.04365024598712665,0.05357142857142857,56,W,form,logistic
1,0.14541660749060623,0.038461538461538464,26,W,form,logistic
2,0.2518610148589357,0.3181818181818182,22,W,form,logistic
3,0.35059131183002584,0.4583333333333333,24,W,form,logistic
4,0.45545458712354026,0.4090909090909091,22,W,form,logistic
5,0.5560943377101125,0.47368421052631576,19,W,form,logistic
6,0.6432884429577019,0.6896551724137931,29,W,form,logistic
7,0.7664812987971352,0.6538461538461539,26,W,form,logistic
8,0.8562262268171861,0.7714285714285715,35,W,form,logistic
