Architecture,Universe,Model,Gender,SeedGapBand,Rows,Brier,ConfidentWrongRate,MeanConfidence
separate_gender,rich,hist_classifier,M,0,24,0.20611090634989726,0.0,0.6160786053237062
separate_gender,rich,hist_classifier,M,1-2,57,0.24299446578624267,0.017543859649122806,0.6299004977120859
separate_gender,rich,hist_classifier,M,3-5,87,0.23598422343071696,0.05747126436781609,0.6907322630756602
separate_gender,rich,hist_classifier,M,6-8,74,0.1597380527287117,0.08108108108108109,0.7886846805293476
separate_gender,rich,hist_classifier,M,9-12,52,0.17073083908251888,0.1346153846153846,0.8591071905828495
separate_gender,rich,hist_classifier,M,13+,40,0.07064788601275764,0.075,0.9635221018113647
separate_gender,rich,hist_classifier,W,0,5,0.40310952904625114,0.2,0.7033859414699668
separate_gender,rich,hist_classifier,W,1-2,64,0.2716477861821223,0.09375,0.7043802321020796
separate_gender,rich,hist_classifier,W,3-5,102,0.18769331925781138,0.06862745098039216,0.7642158806629775
separate_gender,rich,hist_classifier,W,6-8,59,0.15304214449046497,0.11864406779661017,0.8633103722050881
separate_gender,rich,hist_classifier,W,9-12,45,0.02220885577628758,0.022222222222222223,0.9451996669748189
separate_gender,rich,hist_classifier,W,13+,40,0.0009114293946038386,0.0,0.9772588858712004
separate_gender,rich,lgb_classifier,M,0,24,0.1940643494386718,0.0,0.5970427224042328
separate_gender,rich,lgb_classifier,M,1-2,57,0.2354319903820906,0.0,0.6017754540607039
separate_gender,rich,lgb_classifier,M,3-5,87,0.23323141288035334,0.04597701149425287,0.6723889669214236
separate_gender,rich,lgb_classifier,M,6-8,74,0.15454766322541924,0.04054054054054054,0.7720909311365499
separate_gender,rich,lgb_classifier,M,9-12,52,0.16169118007491937,0.09615384615384616,0.8537060435776318
separate_gender,rich,lgb_classifier,M,13+,40,0.06997171045604385,0.075,0.9412915247224862
separate_gender,rich,lgb_classifier,W,0,5,0.32573137502414856,0.2,0.6477978088715645
separate_gender,rich,lgb_classifier,W,1-2,64,0.25061567429330206,0.078125,0.6714593002931906
separate_gender,rich,lgb_classifier,W,3-5,102,0.18609749750066448,0.058823529411764705,0.7393911820313902
separate_gender,rich,lgb_classifier,W,6-8,59,0.14780863269649455,0.0847457627118644,0.8482226576234
separate_gender,rich,lgb_classifier,W,9-12,45,0.02888769508322087,0.022222222222222223,0.8986141069725456
separate_gender,rich,lgb_classifier,W,13+,40,0.004840045624834051,0.0,0.9351811887362643
separate_gender,rich,lgb_margin,M,0,24,0.20390586387512274,0.0,0.6047330627363955
separate_gender,rich,lgb_margin,M,1-2,57,0.22781313195392053,0.0,0.6201704148837494
separate_gender,rich,lgb_margin,M,3-5,87,0.23591358306274673,0.034482758620689655,0.6638145424044325
separate_gender,rich,lgb_margin,M,6-8,74,0.16454781130082788,0.04054054054054054,0.7532070411993476
separate_gender,rich,lgb_margin,M,9-12,52,0.16834404754261673,0.09615384615384616,0.8252698833661504
separate_gender,rich,lgb_margin,M,13+,40,0.0726466101753273,0.075,0.950684761028287
separate_gender,rich,lgb_margin,W,0,5,0.37133592288250267,0.2,0.6519125675509968
separate_gender,rich,lgb_margin,W,1-2,64,0.2612905324320962,0.078125,0.6805529862478731
separate_gender,rich,lgb_margin,W,3-5,102,0.18921532493731244,0.058823529411764705,0.7508547568731099
separate_gender,rich,lgb_margin,W,6-8,59,0.17328026361573032,0.13559322033898305,0.8607576407268962
separate_gender,rich,lgb_margin,W,9-12,45,0.03180521603537249,0.022222222222222223,0.9036648592142345
separate_gender,rich,lgb_margin,W,13+,40,0.0019854688444293947,0.0,0.9783025792978156
separate_gender,rich,ridge_margin,M,0,24,0.2067247132779427,0.0,0.6111972343415738
separate_gender,rich,ridge_margin,M,1-2,57,0.22466750522668547,0.0,0.6064128940110382
separate_gender,rich,ridge_margin,M,3-5,87,0.23428071721647584,0.022988505747126436,0.6601340014117916
separate_gender,rich,ridge_margin,M,6-8,74,0.15790169496958706,0.013513513513513514,0.7521915542707663
