Architecture,Universe,Model,Gender,TournamentDayBand,Rows,Brier,ConfidentWrongRate,MeanConfidence
separate_gender,rich,xgb_classifier,M,rounds_3_4,64,0.2334026695122361,0.0625,0.6863689843739849
separate_gender,rich,xgb_classifier,M,semifinal,14,0.15709337736552254,0.0,0.7302705227796521
separate_gender,rich,xgb_classifier,M,final_or_other,5,0.20358373561754864,0.0,0.5967024266719818
separate_gender,rich,xgb_classifier,W,rounds_1_2,176,0.10667737074211457,0.017045454545454544,0.8152684758216228
separate_gender,rich,xgb_classifier,W,rounds_3_4,112,0.19889724041233503,0.10714285714285714,0.8076446898215052
separate_gender,rich,xgb_classifier,W,semifinal,20,0.25145535595313806,0.2,0.7643624260090292
separate_gender,rich,xgb_classifier,W,final_or_other,7,0.15502488937837483,0.0,0.752196439142738
separate_gender,rich,xgb_margin,M,play_in,16,0.19162271872227638,0.0,0.6136729585605982
separate_gender,rich,xgb_margin,M,rounds_1_2,235,0.17332610930187164,0.05531914893617021,0.7631348884049788
separate_gender,rich,xgb_margin,M,rounds_3_4,64,0.22495454715666002,0.09375,0.7069593720802916
separate_gender,rich,xgb_margin,M,semifinal,14,0.14468374465606423,0.07142857142857142,0.7485350651283468
separate_gender,rich,xgb_margin,M,final_or_other,5,0.22895542751910933,0.0,0.6488166364600246
separate_gender,rich,xgb_margin,W,rounds_1_2,176,0.11334504695561912,0.022727272727272728,0.8248452990011178
separate_gender,rich,xgb_margin,W,rounds_3_4,112,0.20774293354121515,0.15178571428571427,0.8043379360139978
separate_gender,rich,xgb_margin,W,semifinal,20,0.2656906949890311,0.2,0.785880939546799
separate_gender,rich,xgb_margin,W,final_or_other,7,0.1256699736279642,0.0,0.7568429148238677
