Architecture,Universe,Model,ModelDisplay,EvaluationGender,ComplexityRank,Rows,Seasons,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,CalibrationIntercept,CalibrationSlope,ECE,MCE,Reliability,Resolution,Uncertainty
pooled_common,rich,elo_seed_logistic,Elo + seed logistic,ALL,2,649,5,0.17876166877184582,0.1787391668887563,0.015748135802459755,0.19336539089695512,0.5302112826630323,0.8061416693620503,0.795116044385719,0.7952218991231649,0.724191063174114,0.7262172035236591,0.6885714285714286,0.77491961414791,0.7291981845688351,0.4534449331016929,0.5,229,109,70,241,0.47919876733436056,0.539291217257319,-0.13702810787612724,0.999644409698323,0.03656432789123298,0.111837974534585,0.0025371884381477712,0.07197435301919221,0.24956730871958996
pooled_common,rich,seed_logistic,Seed logistic,ALL,1,649,5,0.1787636241900866,0.17874110754594597,0.01575032159970704,0.1933769262373516,0.5302174956958957,0.8058990848379916,0.7942348091672732,0.7947923871263912,0.724191063174114,0.7262172035236591,0.6885714285714286,0.77491961414791,0.7291981845688351,0.4534449331016929,0.5,229,109,70,241,0.47919876733436056,0.539291217257319,-0.13701390023100413,0.9994003508638505,0.0369280649432324,0.11186003123338406,0.002492987607245636,0.07248497386852977,0.24956730871958996
pooled_common,rich,torch_mlp,PyTorch MLP,ALL,10,649,5,0.1794778272947149,0.17943017709800305,0.021715912686427603,0.2104028049607179,0.5318235969338374,0.8102989021861147,0.7961715212990013,0.795664667719368,0.7072419106317411,0.7091744515687133,0.673352435530086,0.7556270096463023,0.7121212121212122,0.41918317082246764,0.5,224,114,76,235,0.47919876733436056,0.5377503852080123,-0.179697854309758,0.730153074846614,0.06597978805887075,0.14008571999863928,0.007238937417584723,0.07483732472053814,0.24956730871958996
separate_gender,rich,seed_logistic,Seed logistic,ALL,1,649,5,0.17970368184108879,0.17969015749542283,0.020458868711376046,0.20423243118864054,0.5315082239653103,0.8085199490096844,0.7903253636999304,0.7907233014906991,0.7288135593220338,0.7310403546490611,0.6912181303116147,0.7845659163987139,0.7349397590361446,0.4634716506444508,0.5,229,109,67,244,0.47919876733436056,0.5439137134052389,-0.17918972714329653,0.9057229122423894,0.05493237349310001,0.1257075490340237,0.004313856773427922,0.0720042715748628,0.24956730871958996
separate_gender,rich,elo_seed_logistic,Elo + seed logistic,ALL,2,649,5,0.17970471994574724,0.17969119469755404,0.02046631782347172,0.20424402349369078,0.5315186711335719,0.8086008105177039,0.7907284752532896,0.7907490708539835,0.7288135593220338,0.7310403546490611,0.6912181303116147,0.7845659163987139,0.7349397590361446,0.4634716506444508,0.5,229,109,67,244,0.47919876733436056,0.5439137134052389,-0.17922057010994433,0.9059495445477538,0.05183179611047689,0.1256661860611109,0.0037776860461164793,0.07210049587142114,0.24956730871958996
pooled_common,rich,constant_probability,Constant 0.50,ALL,0,649,5,0.25,0.25,0.0,0.25,0.6931471805599453,0.5,0.47919876733436056,0.7395993836671803,0.47919876733436056,0.5,0.47919876733436056,1.0,0.6479166666666667,0.0,0.5,0,338,0,311,0.47919876733436056,1.0,-0.08325298330378461,0.0,0.020801232665639435,0.020801232665639435,0.0004326912804100651,0.0,0.24956730871958996
separate_gender,rich,constant_probability,Constant 0.50,ALL,0,649,5,0.25,0.25,0.0,0.25,0.6931471805599453,0.5,0.47919876733436056,0.7395993836671803,0.47919876733436056,0.5,0.47919876733436056,1.0,0.6479166666666667,0.0,0.5,0,338,0,311,0.47919876733436056,1.0,-0.08325298330378461,0.0,0.020801232665639435,0.020801232665639435,0.0004326912804100651,0.0,0.24956730871958996
pooled_common,rich,hist_classifier,Histogram boosting,M,4,334,5,0.1806688479903381,0.18058886562262222,0.030977556666365626,0.20962081957398307,0.5406793555261393,0.8077200577200577,0.7722920521232517,0.7682942797207509,0.7365269461077845,0.7377344877344878,0.6987951807228916,0.7532467532467533,0.725,0.4740346766491302,0.5,130,50,38,116,0.46107784431137727,0.49700598802395207,-0.21784552412265398,0.8322309939398992,0.06241587541575848,0.16214989770593874,0.006513034306685515,0.07180366923139216,0.24848506579655064
pooled_common,rich,lgb_classifier,LightGBM classifier,M,6,334,5,0.18257382942508196,0.18247187547815208,0.027135367597947286,0.21662644769967013,0.5409651635149819,0.8045454545454547,0.7714947221462205,0.7690809908913839,0.7275449101796407,0.7312770562770563,0.6779661016949152,0.7792207792207793,0.7250755287009063,0.4619794954326231,0.5,123,57,34,120,0.46107784431137727,0.5299401197604791,-0.23486846154982396,0.8868040003244871,0.06159309931140056,0.17981931584986954,0.005962412291157262,0.07116057040231234,0.24848506579655064
separate_gender,rich,ridge_margin,Ridge margin,M,7,334,5,0.18265410931260168,0.18260968120435814,0.016228309603694004,0.19993028606707802,0.5431958152320185,0.7998917748917749,0.7847463682431212,0.7837815534700102,0.718562874251497,0.7201298701298702,0.6785714285714286,0.7402597402597403,0.7080745341614907,0.4389316535528061,0.5,126,54,40,114,0.46107784431137727,0.5029940119760479,-0.14642305543679537,0.9308954666700768,0.054962204615839456,0.11502676312349852,0.004682032506569269,0.06959685291749589,0.24848506579655064
